Angle	Frequency	m	p
48	2048	0.706933520514	-0.00243152916114
56	2048	0.603274471084	-0.00170279418242
64	2048	0.529967533369	0.000160202233517
72	2048	0.471323262771	0.00213094204969
80	2048	0.413856198527	0.00620484868632
96	2048	0.346067337286	0.00108476644621
112	2048	0.291657988251	0.00195991457724
128	2048	0.252729510982	0.00105688344372
144	2048	0.224056294911	0.000126285534885
160	2048	0.195911980146	0.00388198427266
180	2048	0.175624353826	8.7803947524e-05

0.5	4096	9.75720146205	0.0115344937338
1	4096	9.10589779656	0.039373903501
2	4096	7.29553935455	0.131210925207
4	4096	4.87191240371	-0.0561890484365
8	4096	2.80503020209	-0.0554199039432
16	4096	1.47232991743	0.0130750841694
24	4096	1.02438269243	-0.0222303914237
32	4096	0.754983634924	0.0138680394517
40	4096	0.612814770112	0.00348915508791
48	4096	0.50517596154	0.00900567730192
56	4096	0.439018343913	0.00080622196454
64	4096	0.380704140419	0.000732869792799
72	4096	0.341073460337	-0.00364360828874
80	4096	0.305145403979	7.33677636479e-06
96	4096	0.250417765562	-0.00158083394539
112	4096	0.210790562303	0.000851561847609
128	4096	0.182337721223	0.00135378411655
144	4096	0.163337271166	-0.00236585975524
160	4096	0.144025567771	-0.000827474922338
180	4096	0.126685785527	0.00109035229155
