Angle	Frequency	m	p	ARF	AF
24.0	512.0	2.60290364145	-0.0292578255612	543.058007951	12288.0
48.0	128.0	2.55113640079	0.0105223748564	543.058007951	6144.0
96.0	32.0	2.50583483657	0.00522052833591	543.058007951	3072.0
112.0	24.0	2.41441126641	0.0348694767531	548.685702383	2688.0
56.0	96.0	2.5582579556	0.0198260604874	548.685702383	5376.0
160.0	12.0	2.3865729953	-0.0437764542669	554.256258422	1920.0
80.0	48.0	2.47512474015	-0.00402706105209	554.256258422	3840.0
40.0	192.0	2.64075256068	0.00843128530697	554.256258422	7680.0
180.0	10.0	2.29232074967	0.0186237241206	569.20997883	1800.0
64.0	80.0	2.41923003513	0.0462253955651	572.43340224	5120.0
128.0	20.0	2.32830758501	0.00191795604941	572.43340224	2560.0
32.0	320.0	2.71192207569	0.0145851190707	572.43340224	10240.0
72.0	64.0	2.38418167509	0.0214576778999	576.0	4608.0
144.0	16.0	2.32935683494	-0.0461861218363	576.0	2304.0
56.0	112.0	2.34486564946	0.0212692042957	592.648293678	6272.0
80.0	56.0	2.30647611302	-0.0155475330279	598.665181884	4480.0
40.0	224.0	2.48873764684	-0.0377780242426	598.665181884	8960.0
48.0	160.0	2.42272238459	-0.0136957629075	607.157310752	7680.0
96.0	40.0	2.25825709616	0.0106437112234	607.157310752	3840.0
180.0	12.0	2.13904034078	-0.0235148877436	623.538290725	2160.0
128.0	24.0	2.14940697916	0.00704841434967	627.069374152	3072.0
64.0	96.0	2.28112387775	-0.00972008493139	627.069374152	6144.0
32.0	384.0	2.40109708764	-0.0279663432467	627.069374152	12288.0
112.0	32.0	2.15173884614	-0.00276586886168	633.567675943	3584.0
56.0	128.0	2.18976446486	0.0555099081761	633.567675943	7168.0
80.0	64.0	2.18304447719	-0.00879004844415	640.0	5120.0
160.0	16.0	2.07727225325	-0.0136091789483	640.0	2560.0
40.0	256.0	2.23545114942	-0.0142178325201	640.0	10240.0
144.0	20.0	2.08342564854	-0.0162066550044	643.98757752	2880.0
72.0	80.0	2.17895725136	0.0016054641906	643.98757752	5760.0
48.0	192.0	2.29040687137	-0.0447656801641	665.107510106	9216.0
