Frequency	Angle	Speed	RealArea	Stdev
4096	128	1.0	0.00202998453365	0.000748379882851

0.5	144	1.0	2.43006022798	0.604200728553
1	144	1.0	2.18411610294	0.583289432995
2	144	1.0	1.57573940408	0.514275691032
4	144	1.0	0.92482268037	0.33528105451
6	144	1.0	0.692517252597	0.230688057192
8	144	1.0	0.562681757658	0.201079192991
10	144	1.0	0.474579717173	0.175472732961
12	144	1.0	0.38907540679	0.140475559803
16	144	1.0	0.319386444687	0.122097127919
20	144	1.0	0.26180881211	0.106863311996
24	144	1.0	0.210153705785	0.0762537978645
32	144	1.0	0.167052978553	0.060901329175
40	144	1.0	0.142305532267	0.05770503216
48	144	1.0	0.115915395469	0.0395329827589
56	144	1.0	0.0978133553856	0.0341534527672
64	144	1.0	0.0901930115691	0.0315705726981
80	144	1.0	0.0746856731742	0.0274544970016
96	144	1.0	0.0629554980227	0.0197854554171
112	144	1.0	0.0534798640956	0.0202383022378
128	144	1.0	0.0462329451636	0.0178733169693
160	144	1.0	0.0422165913059	0.016289653793
192	144	1.0	0.0359615935726	0.0132145244562
224	144	1.0	0.0294896044622	0.0103930964877
256	144	1.0	0.0243604136519	0.00888460442424
320	144	1.0	0.023391629357	0.00725697162235
384	144	1.0	0.0182222112007	0.00668665372888
512	144	1.0	0.0116578307275	0.00400425229161
1024	144	1.0	0.00629928099978	0.00207215975332
2048	144	1.0	0.00317255670666	0.00114447067063
4096	144	1.0	0.00155207994306	0.000531748539546

0.5	160	1.0	2.33551077562	0.668987774481
1	160	1.0	1.93172256446	0.613807182188
2	160	1.0	1.33335690157	0.449418935485
4	160	1.0	0.806797576542	0.299271997654
6	160	1.0	0.598754311729	0.215920790359
8	160	1.0	0.459070082223	0.1759598298
10	160	1.0	0.393553121837	0.150903500541
12	160	1.0	0.321168342252	0.127877622156
16	160	1.0	0.258138780131	0.0937580223646
20	160	1.0	0.206025419046	0.0855366987285
24	160	1.0	0.170042891017	0.0612993118471
32	160	1.0	0.135590887147	0.0450932508435
40	160	1.0	0.114270039079	0.0409532113308
48	160	1.0	0.0906397110721	0.0322147455842
56	160	1.0	0.0808290372177	0.0287801997553
64	160	1.0	0.0716438604258	0.0253208193605
80	160	1.0	0.0576151047287	0.0203911387271
96	160	1.0	0.0502028546549	0.0198262089719
112	160	1.0	0.0411902409801	0.0150296536285
128	160	1.0	0.037661536741	0.0131098097961
160	160	1.0	0.0325330794613	0.0123050805159
192	160	1.0	0.0281614083197	0.0106951248778
224	160	1.0	0.0240932185687	0.00828180441531
256	160	1.0	0.0185767743685	0.00670504308746
320	160	1.0	0.017976115063	0.00628972119101
384	160	1.0	0.0148111501611	0.00547495449165
512	160	1.0	0.00955312358913	0.00310104787775
1024	160	1.0	0.00466265560157	0.00157356513989
2048	160	1.0	0.00261055469538	0.000919884939284
4096	160	1.0	0.00118943331118	0.000407351712972

0.5	180	1.0	1.96713203436	0.73463740667
1	180	1.0	1.61602475721	0.567436226212
2	180	1.0	1.09150367562	0.408444694452
4	180	1.0	0.686885304965	0.273881624167
6	180	1.0	0.47344562261	0.165229610881
8	180	1.0	0.374895419794	0.135074360723
10	180	1.0	0.312637996419	0.120975921085
12	180	1.0	0.26691337546	0.1108506276
16	180	1.0	0.209623745717	0.0776124794612
20	180	1.0	0.172989902788	0.0678126048804
24	180	1.0	0.138568727169	0.0560804380335
32	180	1.0	0.105318451065	0.0398593752473
40	180	1.0	0.0912423301467	0.0336545528838
48	180	1.0	0.0723221987236	0.0262892377001
56	180	1.0	0.0665849843589	0.0239341744616
64	180	1.0	0.0607174606349	0.020304987348
80	180	1.0	0.0469688895019	0.0174160836722
96	180	1.0	0.0414716685275	0.0155176436816
112	180	1.0	0.0340342017146	0.0123478618228
128	180	1.0	0.0302293787702	0.0116501900815
160	180	1.0	0.0265603210704	0.00930635639146
192	180	1.0	0.0215245799396	0.00776391227722
224	180	1.0	0.0185974066025	0.00705769501694
256	180	1.0	0.0143211526107	0.00538055648753
320	180	1.0	0.0147443958493	0.00481164105043
384	180	1.0	0.0112133694677	0.00435347492187
512	180	1.0	0.00774481971095	0.00274047272049
1024	180	1.0	0.00382714245918	0.00137908364602
2048	180	1.0	0.00194384018532	0.000775174901403
4096	180	1.0	0.000968532728082	0.000351193145802
