Angle	Frequency	AF	ARF	ax	bx	cx
64.0	48.0	3072.0	443.405006738	0.54265395493	0	0
128.0	12.0	1536.0	443.405006738	0.504698712658	0	0
32.0	192.0	6144.0	443.405006738	0.600343243407	0	0
112.0	16.0	1792.0	448.0	0.44882184175	0	0
56.0	64.0	3584.0	448.0	0.503713957084	0	0
80.0	32.0	2560.0	452.548339959	0.483758011776	0	0
160.0	8.0	1280.0	452.548339959	0.453742743792	0	0
40.0	128.0	5120.0	452.548339959	0.506869951947	0	0
72.0	40.0	2880.0	455.367983064	0.50395735458	0	0
144.0	10.0	1440.0	455.367983064	0.466829032664	0	0
48.0	96.0	4608.0	470.302030614	0.471623716044	0	0
96.0	24.0	2304.0	470.302030614	0.445943383646	0	0
24.0	384.0	9216.0	470.302030614	0.555883134873	0	0
32.0	224.0	7168.0	478.932145507	0.496067301711	0	0
64.0	56.0	3584.0	478.932145507	0.465883034692	0	0
72.0	48.0	3456.0	498.83063258	0.435758114116	0	0
144.0	12.0	1728.0	498.83063258	0.386641044855	0	0
112.0	20.0	2240.0	500.87922696	0.404362569339	0	0
56.0	80.0	4480.0	500.87922696	0.442335912696	0	0
80.0	40.0	3200.0	505.964425627	0.455717992234	0	0
40.0	160.0	6400.0	505.964425627	0.456022895496	0	0
160.0	10.0	1600.0	505.964425627	0.405834020363	0	0
48.0	112.0	5376.0	507.984251724	0.420369874133	0	0
180.0	8.0	1440.0	509.116882454	0.385977034517	0	0
128.0	16.0	2048.0	512.0	0.378463272954	0	0
16.0	1024.0	16384.0	512.0	0.456464726802	0	0
8.0	4096.0	32768.0	512.0	0.510662296849	0	0
32.0	256.0	8192.0	512.0	0.449217474564	0	0
64.0	64.0	4096.0	512.0	0.417345678262	0	0
72.0	56.0	4032.0	538.798663695	0.387121423495	0	0
24.0	512.0	12288.0	543.058007951	0.386056955656	0	0
48.0	128.0	6144.0	543.058007951	0.37754112257	0	0
96.0	32.0	3072.0	543.058007951	0.348151651627	0	0
112.0	24.0	2688.0	548.685702383	0.37919317022	0	0
56.0	96.0	5376.0	548.685702383	0.397193020524	0	0
160.0	12.0	1920.0	554.256258422	0.348792907181	0	0
80.0	48.0	3840.0	554.256258422	0.343867178799	0	0
40.0	192.0	7680.0	554.256258422	0.389055931637	0	0
180.0	10.0	1800.0	569.20997883	0.329017625191	0	0
64.0	80.0	5120.0	572.43340224	0.36030253542	0	0
128.0	20.0	2560.0	572.43340224	0.319474742744	0	0
32.0	320.0	10240.0	572.43340224	0.436261465659	0	0
72.0	64.0	4608.0	576.0	0.342040402094	0	0
144.0	16.0	2304.0	576.0	0.327113838458	0	0
56.0	112.0	6272.0	592.648293678	0.321573808785	0	0
80.0	56.0	4480.0	598.665181884	0.286368262761	0	0
40.0	224.0	8960.0	598.665181884	0.367116286737	0	0
48.0	160.0	7680.0	607.157310752	0.345838739988	0	0
96.0	40.0	3840.0	607.157310752	0.31157318868	0	0
180.0	12.0	2160.0	623.538290725	0.25378168786	0	0
128.0	24.0	3072.0	627.069374152	0.278849473203	0	0
64.0	96.0	6144.0	627.069374152	0.31223360408	0	0
32.0	384.0	12288.0	627.069374152	0.348417457079	0	0
112.0	32.0	3584.0	633.567675943	0.268847119469	0	0
56.0	128.0	7168.0	633.567675943	0.301650826416	0	0
80.0	64.0	5120.0	640.0	0.283725531486	0	0
160.0	16.0	2560.0	640.0	0.263632521928	0	0
40.0	256.0	10240.0	640.0	0.283793938547	0	0
144.0	20.0	2880.0	643.98757752	0.250604058291	0	0
