Angle	Frequency	m	p	ARF	AF	m
64	32	3.5489674563	0.026192068	362.0386719675	2048	3.5489674563
32	128	3.6207772488	-0.0054982142	362.0386719675	4096	3.6207772488
16	512	3.6337456513	0.0415554791	362.0386719675	8192	3.6337456513
96	16	3.3439653906	-0.0093106067	384	1536	3.3439653906
48	64	3.4568265624	0.0069833634	384	3072	3.4568265624
24	256	3.4628743885	0.040241136	384	6144	3.4628743885
112	12	3.282574716	0.0106696196	387.9793808954	1344	3.282574716
56	48	3.3718524427	0.0062179735	387.9793808954	2688	3.3718524427
160	6	3.2001610965	0.0146666353	391.9183588453	960	3.2001610965
80	24	3.2934972883	0.0577910091	391.9183588453	1920	3.2934972883
40	96	3.4342471559	0.004767906	391.9183588453	3840	3.4342471559
128	10	3.1728359399	-0.0682136289	404.7715405016	1280	3.1728359399
64	40	3.304873072	-0.0387432212	404.7715405016	2560	3.304873072
32	160	3.5236283741	-0.1128003717	404.7715405016	5120	3.5236283741
144	8	3.1079261982	0.0238345846	407.2935059635	1152	3.1079261982
72	32	3.2755188107	-0.0240229471	407.2935059635	2304	3.2755188107
56	56	3.161646244	0.0225557318	419.0656273187	3136	3.161646244
40	112	3.1804540486	-0.0149233245	423.3202097703	4480	3.1804540486
96	20	3.1080120179	-0.0518866099	429.32505168	1920	3.1080120179
48	80	3.1849101905	0.050735851	429.32505168	3840	3.1849101905
24	320	3.4635793732	0.0232803322	429.32505168	7680	3.4635793732
180	6	2.9023848255	-0.0075875635	440.908153701	1080	2.9023848255
128	12	2.9297611292	-0.0356950062	443.4050067376	1536	2.9297611292
64	48	2.9859094462	0.0790373934	443.4050067376	3072	2.9859094462
32	192	3.3023894256	-0.1042899065	443.4050067376	6144	3.3023894256
112	16	2.9272162504	-0.0287148775	448	1792	2.9272162504
56	64	2.9515935151	0.0741418633	448	3584	2.9515935151
160	8	2.8407194486	-0.0251114628	452.5483399594	1280	2.8407194486
80	32	2.9556381324	0.0114260083	452.5483399594	2560	2.9556381324
40	128	3.0266921549	-0.0343618691	452.5483399594	5120	3.0266921549
144	10	2.8706210835	-0.0412654229	455.3679830642	1440	2.8706210835
72	40	2.9277916535	0.0155673863	455.3679830642	2880	2.9277916535
96	24	2.8192585	-0.0116278047	470.3020306144	2304	2.8192585
48	96	2.982599651	-0.039057773	470.3020306144	4608	2.982599651
